DataBrasil,PercentualBrasil,VARIAÇÃO,MEDIANA,MÉDIA
2021-01-18,0,,,
2021-02-01,0,0,4.12,4126
2021-02-22,0.81,0.81,,
2021-03-01,1.27,0.46,,
2021-03-08,1.78,1.32,,
2021-03-15,2.3,0.98,,
2021-03-22,2.66,1.68,,
2021-03-29,3.02,1.34,,
2021-04-05,3.5,2.16,,
2021-04-12,4.63,2.47,,
2021-04-19,6.38,3.91,,
2021-04-26,8.24,4.33,,
2021-05-03,10.18,5.85,,
2021-05-10,11.3,5.45,,
2021-05-17,12.14,6.69,,
2021-05-24,13.18,6.49,,
2021-05-31,13.96,7.47,,
2021-06-07,14.52,7.05,,
2021-06-14,14.95,7.9,,
2021-06-21,15.37,7.47,,
2021-06-28,16.16,8.69,,
