DataBrasil,PercentualBrasil
2021-01-17,"0,00"
2021-01-18,"0,00"
2021-01-19,"0,00"
2021-01-20,"0,00"
2021-01-21,"0,00"
2021-01-22,"0,00"
2021-01-23,"0,00"
2021-01-24,"0,00"
2021-01-25,"0,00"
2021-01-26,"0,00"
2021-01-27,"0,00"
2021-01-28,"0,00"
2021-01-29,"0,00"
2021-01-30,"0,00"
2021-01-31,"0,00"
2021-02-01,"0,00"
2021-02-02,"0,00"
2021-02-03,"0,00"
2021-02-04,"0,00"
2021-02-05,"0,00"
2021-02-06,"0,01"
2021-02-07,"0,02"
2021-02-08,"0,02"
2021-02-09,"0,03"
2021-02-10,"0,05"
2021-02-11,"0,07"
2021-02-12,"0,11"
2021-02-13,"0,12"
2021-02-14,"0,14"
2021-02-15,"0,18"
2021-02-16,"0,35"
2021-02-17,"0,45"
2021-02-18,"0,56"
2021-02-19,"0,66"
2021-02-20,"0,71"
2021-02-21,"0,73"
2021-02-22,"0,81"
2021-02-23,"0,90"
2021-02-24,"1,00"
2021-02-25,"1,10"
2021-02-26,"1,18"
2021-02-27,"1,20"
2021-02-28,"1,20"
2021-03-01,"1,27"
2021-03-02,"1,35"
2021-03-03,"1,45"
2021-03-04,"1,54"
2021-03-05,"1,64"
2021-03-06,"1,68"
2021-03-07,"1,70"
2021-03-08,"1,78"
2021-03-09,"1,87"
2021-03-10,"1,98"
2021-03-11,"2,07"
2021-03-12,"2,17"
2021-03-13,"2,22"
2021-03-14,"2,23"
2021-03-15,"2,30"
2021-03-16,"2,37"
2021-03-17,"2,45"
2021-03-18,"2,52"
2021-03-19,"2,57"
2021-03-20,"2,59"
2021-03-21,"2,60"
2021-03-22,"2,66"
2021-03-23,"2,71"
2021-03-24,"2,78"
2021-03-25,"2,84"
2021-03-26,"2,90"
2021-03-27,"2,92"
2021-03-28,"2,94"
2021-03-29,"3,02"
2021-03-30,"3,10"
2021-03-31,"3,18"
2021-04-01,"3,28"
2021-04-02,"3,30"
2021-04-03,"3,34"
2021-04-04,"3,37"
2021-04-05,"3,50"
2021-04-06,"3,68"
2021-04-07,"3,81"
2021-04-08,"4,00"
2021-04-09,"4,28"
2021-04-10,"4,37"
2021-04-11,"4,41"
2021-04-12,"4,63"
2021-04-13,"4,84"
2021-04-14,"5,09"
2021-04-15,"5,36"
2021-04-16,"5,74"
2021-04-17,"5,95"
2021-04-18,"6,00"
2021-04-19,"6,38"
2021-04-20,"6,70"
2021-04-21,"6,84"
2021-04-22,"7,13"
2021-04-23,"7,68"
2021-04-24,"7,82"
2021-04-25,"7,86"
2021-04-26,"8,24"
2021-04-27,"8,75"
2021-04-28,"9,14"
2021-04-29,"9,49"
2021-04-30,"9,81"
2021-05-01,"9,89"
2021-05-02,"9,92"
2021-05-03,"10,18"
2021-05-04,"10,45"
2021-05-05,"10,68"
2021-05-06,"10,84"
2021-05-07,"11,02"
2021-05-08,"11,07"
2021-05-09,"11,09"
2021-05-10,"11,30"
2021-05-11,"11,49"
2021-05-12,"11,67"
2021-05-13,"11,76"
2021-05-14,"11,87"
2021-05-15,"11,93"
2021-05-16,"11,99"
2021-05-17,"12,14"
2021-05-18,"12,32"
2021-05-19,"12,45"
2021-05-20,"12,63"
2021-05-21,"12,79"
2021-05-22,"12,86"
2021-05-23,"13,00"
2021-05-24,"13,18"
2021-05-25,"13,37"
2021-05-26,"13,51"
2021-05-27,"13,64"
2021-05-28,"13,79"
2021-05-29,"13,84"
2021-05-30,"13,86"
2021-05-31,"13,96"
2021-06-01,"14,09"
2021-06-02,"14,27"
2021-06-03,"14,32"
2021-06-04,"14,37"
2021-06-05,"14,43"
2021-06-06,"14,45"
2021-06-07,"14,52"
2021-06-08,"14,63"
2021-06-09,"14,71"
2021-06-10,"14,79"
2021-06-11,"14,86"
2021-06-12,"14,89"
2021-06-13,"14,90"
2021-06-14,"14,95"
2021-06-15,"15,01"
2021-06-16,"15,07"
2021-06-17,"15,15"
2021-06-18,"15,23"
2021-06-19,"15,28"
2021-06-20,"15,29"
2021-06-21,"15,37"
2021-06-22,"15,45"
2021-06-23,"15,55"
2021-06-24,"15,75"
2021-06-25,"15,87"
2021-06-26,"15,95"
2021-06-27,"15,98"
2021-06-28,"16,16"
2021-06-29,"16,46"
2021-06-30,"16,65"
2021-07-01,"16,84"
2021-07-02,"17,03"
2021-07-03,"17,13"
2021-07-04,"17,18"
2021-07-05,"17,40"
2021-07-06,"17,69"
2021-07-07,"18,08"
2021-07-08,"18,46"
2021-07-09,"18,77"
2021-07-10,"18,99"
2021-07-11,"19,09"
2021-07-12,"19,37"
2021-07-13,"19,63"
2021-07-14,20.13
2021-07-15,20.51
2021-07-16,20.91
2021-07-17,21.13
2021-07-18,21.18
2021-07-19,21.48
