regiao,data,taxa_vacinacao
NORDESTE,2021-01-19,0.00
NORDESTE,2021-01-20,0.00
NORDESTE,2021-01-21,0.00
NORDESTE,2021-01-22,0.00
NORDESTE,2021-01-23,0.00
NORDESTE,2021-01-24,0.00
NORDESTE,2021-01-25,0.00
NORDESTE,2021-01-26,0.00
NORDESTE,2021-01-27,0.00
NORDESTE,2021-01-28,0.00
NORDESTE,2021-01-29,0.00
NORDESTE,2021-01-30,0.00
NORDESTE,2021-01-31,0.00
NORDESTE,2021-02-01,0.00
NORDESTE,2021-02-02,0.00
NORDESTE,2021-02-03,0.00
NORDESTE,2021-02-04,0.00
NORDESTE,2021-02-05,0.00
NORDESTE,2021-02-06,0.00
NORDESTE,2021-02-07,0.00
NORDESTE,2021-02-08,0.01
NORDESTE,2021-02-09,0.02
NORDESTE,2021-02-10,0.04
NORDESTE,2021-02-11,0.06
NORDESTE,2021-02-12,0.12
NORDESTE,2021-02-13,0.14
NORDESTE,2021-02-14,0.19
NORDESTE,2021-02-15,0.22
NORDESTE,2021-02-16,0.27
NORDESTE,2021-02-17,0.34
NORDESTE,2021-02-18,0.50
NORDESTE,2021-02-19,0.53
NORDESTE,2021-02-20,0.56
NORDESTE,2021-02-21,0.58
NORDESTE,2021-02-22,0.65
NORDESTE,2021-02-23,0.75
NORDESTE,2021-02-24,0.87
NORDESTE,2021-02-25,0.97
NORDESTE,2021-02-26,1.07
NORDESTE,2021-02-27,1.07
NORDESTE,2021-02-28,1.08
NORDESTE,2021-03-01,1.14
NORDESTE,2021-03-02,1.17
NORDESTE,2021-03-03,1.35
NORDESTE,2021-03-04,1.40
NORDESTE,2021-03-05,1.48
NORDESTE,2021-03-06,1.51
NORDESTE,2021-03-07,1.53
NORDESTE,2021-03-08,1.59
NORDESTE,2021-03-09,1.65
NORDESTE,2021-03-10,1.74
NORDESTE,2021-03-11,1.81
NORDESTE,2021-03-12,1.91
NORDESTE,2021-03-13,1.94
NORDESTE,2021-03-14,1.95
NORDESTE,2021-03-15,2.04
NORDESTE,2021-03-16,2.07
NORDESTE,2021-03-17,2.12
