Data,Taxa,Data real
0,65.51,2020-07-17
10,65.5,2020-07-27
24,63.2,2020-08-10
38,58.87,2020-08-24
52,55.17,2020-09-07
66,52.39,2020-09-21
80,49.13,2020-10-05
101,49.49,2020-10-26
115,50.33,2020-11-09
129,54.71,2020-11-23
143,63.61,2020-12-07
157,67.39,2020-12-21
170,67.48,2021-01-04
184,73.19,2021-01-18
198,70.26,2021-02-01
219,78.61,2021-02-22
226,83.37,2021-03-01
233,88.06,2021-03-08
240,90.3,2021-03-15
247,91.78,2021-03-22
254,91.52,2021-03-29
261,90.85,2021-04-05
268,88.7,2021-04-12
275,86.22,2021-04-19
282,83.44,2021-04-26
289,82.22,2021-05-03
297,78.33,2021-05-11
